"id","sid","2015-10-08 00:00:00","2015-10-08 00:10:00","2015-10-08 00:20:00","2015-10-08 00:30:00","2015-10-08 00:40:00","2015-10-08 00:50:00","2015-10-08 01:00:00","2015-10-08 01:10:00","2015-10-08 01:20:00","2015-10-08 01:30:00","2015-10-08 01:40:00","2015-10-08 01:50:00","2015-10-08 02:00:00","2015-10-08 02:10:00","2015-10-08 02:20:00","2015-10-08 02:30:00","2015-10-08 02:40:00","2015-10-08 02:50:00","2015-10-08 03:00:00","2015-10-08 03:10:00","2015-10-08 03:20:00","2015-10-08 03:30:00","2015-10-08 03:40:00","2015-10-08 03:50:00","2015-10-08 04:00:00","2015-10-08 04:10:00","2015-10-08 04:20:00","2015-10-08 04:30:00","2015-10-08 04:40:00","2015-10-08 04:50:00","2015-10-08 05:00:00","2015-10-08 05:10:00","2015-10-08 05:20:00","2015-10-08 05:30:00","2015-10-08 05:40:00","2015-10-08 05:50:00","2015-10-08 06:00:00","2015-10-08 06:10:00","2015-10-08 06:20:00","2015-10-08 06:30:00","2015-10-08 06:40:00","2015-10-08 06:50:00","2015-10-08 07:00:00","2015-10-08 07:10:00","2015-10-08 07:20:00","2015-10-08 07:30:00","2015-10-08 07:40:00","2015-10-08 07:50:00","2015-10-08 08:00:00","2015-10-08 08:10:00","2015-10-08 08:20:00","2015-10-08 08:30:00","2015-10-08 08:40:00","2015-10-08 08:50:00","2015-10-08 09:00:00","2015-10-08 09:10:00","2015-10-08 09:20:00","2015-10-08 09:30:00","2015-10-08 09:40:00","2015-10-08 09:50:00","2015-10-08 10:00:00","2015-10-08 10:10:00","2015-10-08 10:20:00","2015-10-08 10:30:00","2015-10-08 10:40:00","2015-10-08 10:50:00","2015-10-08 11:00:00","2015-10-08 11:10:00","2015-10-08 11:20:00","2015-10-08 11:30:00","2015-10-08 11:40:00","2015-10-08 11:50:00","2015-10-08 12:00:00","2015-10-08 12:10:00","2015-10-08 12:20:00","2015-10-08 12:30:00","2015-10-08 12:40:00","2015-10-08 12:50:00","2015-10-08 13:00:00","2015-10-08 13:10:00","2015-10-08 13:20:00","2015-10-08 13:30:00","2015-10-08 13:40:00","2015-10-08 13:50:00","2015-10-08 14:00:00","2015-10-08 14:10:00","2015-10-08 14:20:00","2015-10-08 14:30:00","2015-10-08 14:40:00","2015-10-08 14:50:00","2015-10-08 15:00:00","2015-10-08 15:10:00","2015-10-08 15:20:00","2015-10-08 15:30:00","2015-10-08 15:40:00","2015-10-08 15:50:00","2015-10-08 16:00:00","2015-10-08 16:10:00","2015-10-08 16:20:00","2015-10-08 16:30:00","2015-10-08 16:40:00","2015-10-08 16:50:00","2015-10-08 17:00:00","2015-10-08 17:10:00","2015-10-08 17:20:00","2015-10-08 17:30:00","2015-10-08 17:40:00","2015-10-08 17:50:00","2015-10-08 18:00:00","2015-10-08 18:10:00","2015-10-08 18:20:00","2015-10-08 18:30:00","2015-10-08 18:40:00","2015-10-08 18:50:00","2015-10-08 19:00:00","2015-10-08 19:10:00","2015-10-08 19:20:00","2015-10-08 19:30:00","2015-10-08 19:40:00","2015-10-08 19:50:00","2015-10-08 20:00:00","2015-10-08 20:10:00","2015-10-08 20:20:00","2015-10-08 20:30:00","2015-10-08 20:40:00","2015-10-08 20:50:00","2015-10-08 21:00:00","2015-10-08 21:10:00","2015-10-08 21:20:00","2015-10-08 21:30:00","2015-10-08 21:40:00","2015-10-08 21:50:00","2015-10-08 22:00:00","2015-10-08 22:10:00","2015-10-08 22:20:00","2015-10-08 22:30:00","2015-10-08 22:40:00","2015-10-08 22:50:00","2015-10-08 23:00:00","2015-10-08 23:10:00","2015-10-08 23:20:00","2015-10-08 23:30:00","2015-10-08 23:40:00","2015-10-08 23:50:00","2015-10-09 00:00:00"
"239",476,12,9,9,11,6,6,5,3,2,1,0,1,1,2,0,0,0,0,0,0,0,0,3,3,3,3,3,2,2,2,2,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,2,1,2,1,0,0,0,0,0,0,0,0,2,0,0,1,0,1,3,3,3,0,0,1,3,3,2,3,2,3,3,4,1,1,2,2,3,2,4,3,5,3,4,5,4,3,2,4,3,0,0,0,0,1,1,2,3,4,1,2,3,4,7,8,8,9,8,7,7,7,6,4,6,6,8,8,10,15,17,15,14,14,14
"240",477,23,24,23,26,24,23,22,15,18,16,16,17,16,14,13,12,10,9,7,7,10,12,14,12,13,13,12,13,13,13,13,13,14,12,12,13,13,13,13,13,13,11,11,11,11,11,11,11,30,45,50,50,50,50,50,49,48,47,44,37,28,12,6,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,4,9,5,0,0,2,2,4,5,1,2,0,0,0,2,2,4,6,6,4,4,4,5,5,8,9,10,15,16,21,24,29,34,32,40,45,51,55,57,58,58,40,24,21,26,34,40,43,46,55,55,46,43,47,54,49,43,47,46,47,51
"241",478,27,28,28,28,28,28,28,28,28,28,28,28,28,27,28,28,28,28,28,28,29,29,29,29,29,28,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,28,28,28,29,29,29,29,29,29,29,28,29,29,28,29,29,28,28,26,22,18,14,13,9,5,2,2,1,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,2,2,2,3,2,4,1,1,1,1,0,0,0,2,1,1,0,1,1,6,7,7,10,10,9,7,4,5,7,10,10,14,15,19,24,23,26,25,26,25
"242",479,17,20,24,27,25,29,26,29,26,27,25,27,27,28,30,30,27,31,31,30,31,29,28,29,29,31,29,27,26,22,21,21,20,21,22,23,24,25,25,25,25,25,25,25,25,25,25,25,25,25,26,27,27,27,27,27,27,27,27,27,27,26,27,25,25,24,23,21,21,21,18,16,16,15,7,2,0,0,0,1,0,1,1,1,2,2,1,1,0,1,0,0,1,0,1,2,5,4,4,1,3,0,1,0,2,5,3,2,3,2,2,2,3,1,0,1,0,1,2,3,3,1,2,0,1,1,3,0,0,2,3,4,5,4,6,8,8,11,14,13,15,13,17,19,21
"243",480,13,15,19,21,22,22,22,22,6,8,10,9,9,10,12,12,12,13,14,16,15,17,17,17,17,17,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,17,15,13,12,12,11,12,10,9,5,2,2,4,2,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,2,3,4,5,6,6,7,8,9,8,6,6,8,8,9,9,9,11,10,13,12,10,11,11,10,11,12,12,9,7,6,5,7,4,3,3,7,11,9,10,12,13,13,12,8,12,14,12,14,14,14,13
"244",481,24,24,23,24,24,24,24,23,23,24,23,20,21,22,22,22,21,22,23,23,22,22,22,22,22,21,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,21,21,21,21,20,20,18,17,16,15,14,15,13,13,11,12,9,8,8,7,7,7,6,5,5,5,5,5,5,4,4,4,4,4,3,3,2,3,5,5,2,2,3,3,3,4,4,3,4,4,3,3,3,3,4,4,5,4,3,3,6,6,6,3,0,0,1,1,2,0,1,2,3,3,4,2,2,3,2
"245",482,25,24,25,26,22,20,18,17,25,23,24,23,23,25,26,27,26,24,22,24,24,23,23,22,24,24,24,25,24,24,24,24,24,24,25,25,25,25,25,25,25,25,25,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,28,28,27,27,27,24,25,24,21,23,21,17,14,11,13,10,8,8,6,8,6,4,2,3,1,1,0,0,0,3,4,2,1,0,0,0,1,1,0,0,2,3,2,4,5,9,7,7,7,7,7,3,3,2,5,4,3,3,2,3,5,2,1,0,0,1,3,4,0,1,3,2,2,7,5,4,7,10,9,13,18,22,20,24,26
"246",483,35,32,33,35,30,29,29,32,32,31,35,35,35,35,33,31,31,33,32,28,28,29,26,25,23,26,23,24,24,22,22,22,22,23,23,24,25,25,25,24,24,24,26,26,26,27,27,27,27,27,27,27,27,26,25,24,24,24,24,23,24,24,23,23,22,21,23,22,21,20,19,19,20,20,20,22,22,21,16,15,15,16,15,15,15,13,10,7,8,9,13,12,11,9,9,9,6,4,5,6,7,4,4,4,4,4,9,6,7,8,9,9,8,3,1,2,3,6,8,10,13,13,13,13,16,16,18,19,16,19,18,17,25,20,24,26,25,22,29,31,33,33,33,33,32
"247",484,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,5,8,11,16,19,22,29,35,37,39,38,39,39,39,39,39,39,39,39,39,36,39,39,39,38,39,36,37,38,39,39,37,37,38,37,37,34,32,34,37,36,35,39,37,31,30,34,34,34,36,34,33,35,35,37,36,34,32,29,29,27,26,21,19,19,11,6,2,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1
"248",485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,3,4,8,12,9,11,12,11,9,9,9,13,14,13,13,13,14,14,13,13,17,19,20,18,17,17,18,15,14,13,15,12,17,19,15,16,18,15,14,9,10,7,8,10,13,12,7,11,9,8,4,2,2,0,0,0,0,1,0,2,1,0,0,1,0,0,1,2,1
"249",486,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,0,0,0,0,0,0,1,0,0,2,3,0,0,3,6,8,6,8,7,14,27,30,32,33,35,37,36,37,37,36,36,37,36,36,37,35,35,35,35,33,33,34,35,33,32,32,31,28,29,29,31,31,31,31,31,28,28,29,28,29,28,28,26,25,24,23,24,24,24,16,5,0,0,1,0,4,1,1,1,0,4,0
"250",487,30,30,26,25,26,27,26,28,27,25,29,31,33,35,34,34,35,35,34,34,35,34,35,35,35,35,35,35,35,35,34,34,34,34,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,35,35,35,35,33,31,30,31,29,28,27,23,21,17,29,33,36,34,26,27,22,21,13,6,0,1,0,0,0,0,0,1,3,3,1,0,0,0,0,0,1,0,0,2,2,2,2,2,2,2,2,3,3,4,6,4,3,3,4,4,5,6,6,5,3,6,5,8,10,11,13,15,17,21,21,21,22,26,26,32,33,29,32,36,35,35,28,25,23,22,15,15
"251",488,28,30,29,27,30,30,30,35,34,34,34,35,36,35,34,32,34,34,34,34,35,35,34,35,35,33,34,33,33,34,35,36,36,36,36,36,35,35,35,35,35,35,38,39,39,39,40,40,40,40,40,40,40,40,40,40,40,39,38,37,36,35,33,31,25,18,17,14,12,9,8,7,4,0,0,1,0,1,2,2,1,0,0,3,2,4,6,5,2,2,1,1,1,2,1,2,0,0,0,1,0,1,4,4,4,5,4,4,4,4,6,6,3,7,6,9,8,10,11,14,15,17,21,23,21,24,23,30,31,32,33,38,37,38,38,35,33,33,34,35,39,35,33,32,32
"252",489,1,2,0,1,2,3,6,6,8,9,11,12,12,13,13,10,8,8,9,11,12,13,13,14,14,14,15,15,15,16,19,16,16,16,16,16,16,16,16,15,16,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,13,16,15,16,18,17,19,18,13,10,12,12,10,3,0,0,1,5,3,8,13,22,28,33,33,32,33,31,31,33,33,32,33,29,29,30,33,33,33,32,32,29,27,28,27,28,25,25,27,27,25,24,23,25,23,21,22,23,22,23,22,21,22,22,20,20,21,23,18,21,21,19,15,13,8,10,9,9,5,5,4,9,9
"253",490,56,57,57,56,54,55,50,48,50,51,51,52,52,49,46,47,47,46,45,45,44,44,43,43,43,43,43,44,43,44,44,45,45,45,45,45,45,45,45,44,44,44,44,44,43,43,43,43,43,43,43,44,44,44,43,43,43,42,40,40,38,40,19,1,0,0,0,1,0,0,0,4,1,0,1,0,1,0,2,1,1,0,2,2,0,0,2,1,3,3,4,1,1,1,0,0,0,1,1,1,0,0,2,3,2,4,6,6,7,9,9,8,10,11,11,12,15,15,18,23,22,26,34,37,42,47,47,51,56,57,56,56,56,57,56,54,57,57,56,57,57,57,56,56,57
"254",491,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,1,0,0,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,4,5,7,10,16,22,26,33,35,39,42,41,47,48,49,52,52,52,52,52,52,50,52,52,52,52,51,52,49,50,53,53,53,53,53,50,50,52,52,53,51,51,53,53,50,50,50,50,49,51,50,48,51,51,49,47,44,42,40,38,39,34,31,29,23,15,6,1,0,2,0,1,2,3,1,1,1,0,0,0,0,0,1
"255",492,35,29,15,4,5,5,5,5,6,8,5,7,5,4,3,4,3,4,4,5,7,3,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,2,0,1,1,0,0,0,0,0,3,1,0,1,0,0,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,2,2,4,4,1,1,3,3,4,5,3,3,5,6,6,10,20,22,27,29,31,37,42,43,46,45,42,35,28,22,36,48,48,48,48,46,48,47,48,43,38,45,48,43,48,48,32,21,11
"256",493,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,4,4,5,5,5,5,4,8,8,10,12,16,18,22,31,32,32,30,32,32,32,31,31,32,32,32,31,32,32,32,32,32,32,32,31,29,29,29,26,27,29,27,31,32,32,32,30,25,13,10,11,6,6,4,1,4,5,4,3,0,0,1,1,0,1,0,3,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1
"257",494,33,32,34,33,33,31,31,32,30,32,31,28,26,24,25,26,27,26,24,25,25,24,24,26,26,26,24,25,25,24,24,24,24,24,24,24,24,24,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,24,24,24,24,23,20,17,17,17,16,17,13,14,13,13,11,6,7,0,3,9,7,3,3,5,6,7,4,6,8,10,10,10,11,9,9,8,9,9,10,12,11,12,14,13,14,12,13,12,14,17,19,18,16,17,16,17,16,15,17,18,20,20,19,18,20,21,20,21,21,26,28,29,30,33,34,35,31,34,35,35,30,25,28,30,31,31
"258",495,24,25,24,24,25,24,23,25,25,25,25,25,25,24,25,25,25,25,24,24,25,25,24,22,22,22,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,22,21,21,22,22,17,16,15,16,13,12,8,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,2,0,0,0,1,1,1,2,3,3,2,2,2,2,2,2,3,0,0,1,2,1,3,3,2,2,1,4,4,4,1,2,2,8,8,8,8,8,5,7,11,16,16,18,21,22,23,21,21
"259",496,3,1,3,2,0,2,0,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,2,2,3,2,6,6,6,7,10,17,25,30,35,43,45,45,43,44,41,44,45,44,44,45,45,45,45,45,45,44,43,44,43,42,42,41,43,44,43,42,39,39,36,34,35,35,34,27,31,35,38,38,35,39,35,30,30,28,26,25,29,24,18,16,16,10,7,4,3,3,2,0,0,1,5,3,0
"260",497,0,1,1,0,0,0,0,0,3,0,1,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,3,2,2,3,4,4,2,3,5,6,7,10,11,15,20,18,23,27,35,41,55,54,54,54,55,52,52,54,55,55,52,53,54,52,56,55,56,54,55,56,54,56,55,54,51,52,54,52,55,48,52,50,36,19,25,25,18,15,13,13,17,17,17,19,20,23,27,26,26,25,19,16,16,13,0,2,0,1,6,1,3,0,4,5,5,0,1,0
"261",498,4,4,3,1,1,2,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,0,0,0,0,0,1,1,0,0,0,0,0,3,3,2,0,1,0,0,1,1,1,0,1,2,1,2,2,2,4,7,8,9,6,7,8,9,10,5,10,7,8,5,2,5,5,4,0,0,1,0,2,2,1,0,2,1,0,0,1,2,3,4,2,2,1,6,12,14,11,13,14,12,8,1,6,6,5,1,2,1,1,0
"262",499,0,0,0,0,4,20,13,15,13,15,15,12,10,5,5,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,0,4,10,10,10,10,10,9,8,8,9,9,11,10,12,12,11,10,11,10,9,8,8,6,5,6,5,7,8,8,7,7,10,10,10,8,9,9,12,15,16,10,12,12,11,10,7,11,10,10,8,7,9,9,12,13,13,18,22,23,25,26,25,23,23,25,26,26,29,29,30,29,28,28,30,32,31,29,29,26,25,21,22,25,22,16,23,17,23,17,15,11,6,2,2,0
"263",500,0,0,1,2,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,5,6,9,11,15,20,25,25,31,43,50,52,52,51,52,52,51,52,52,52,52,51,52,51,52,48,49,51,51,50,51,51,51,51,50,49,50,48,49,50,49,50,47,47,46,44,45,44,42,42,40,42,45,45,45,46,45,41,36,29,30,28,28,26,15,9,7,3,1,0,0,4,0,0,0,0,2,0,0,0,2,3
"264",501,39,38,38,38,35,35,34,34,34,34,34,34,35,34,35,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,39,39,36,26,31,30,31,30,24,19,13,17,9,13,15,9,15,20,21,21,17,17,17,18,17,16,14,14,13,11,10,9,9,8,9,9,8,7,8,7,5,4,4,4,2,1,1,2,4,6,4,5,5,5,5,5,6,9,12,13,11,9,8,15,10,12,11,19,20,17,17,11,11,7,9,7,4,7,8,8,10
"265",502,28,26,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,28,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,28,27,28,28,26,24,22,22,19,17,13,13,8,3,0,0,0,0,0,1,1,3,2,3,0,1,2,2,0,0,0,0,0,4,3,2,2,2,3,2,1,0,1,2,1,0,0,0,3,3,1,2,2,2,4,1,0,0,0,0,5,5,4,5,5,5,8,11,13,17,20,20,21,25,27,27,26,29,29,29,29,29
"266",503,0,0,0,0,0,0,3,0,0,1,1,2,3,1,0,0,1,2,0,3,4,5,6,4,3,3,4,5,5,6,5,5,4,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,2,4,6,6,7,6,6,4,4,8,10,9,11,17,25,24,25,25,25,25,23,20,21,25,25,22,24,25,25,25,25,25,22,22,23,23,25,25,24,25,25,24,26,25,24,24,22,23,23,24,23,22,22,22,22,19,21,19,18,19,19,19,21,19,17,14,11,10,8,8,4,3,7,5,2,2,2,0,2,0,2,0
"267",504,41,41,41,41,40,30,34,34,35,38,40,41,40,39,41,39,39,41,41,41,41,41,41,41,39,39,38,39,39,39,38,37,38,39,39,40,40,40,39,39,39,40,40,40,41,41,41,41,41,41,40,40,40,40,41,41,41,41,41,41,41,41,41,41,38,38,38,38,39,35,34,29,24,22,19,12,5,0,0,1,1,0,1,0,0,0,1,0,0,0,2,1,0,4,2,0,0,0,1,1,1,0,2,1,1,0,0,1,0,2,0,3,3,0,2,3,3,7,6,3,2,2,0,2,0,0,3,7,14,17,20,23,25,27,27,29,32,31,32,33,36,37,38,38,39
"268",505,1,2,5,4,5,2,1,1,0,0,0,0,0,2,1,1,1,1,0,1,0,0,2,2,2,0,0,1,1,0,0,3,3,3,3,3,3,3,2,2,2,2,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,3,2,2,1,1,2,0,1,0,0,5,0,0,2,4,0,1,1,1,0,0,0,3,0,1,1,3,1,3,2,2,3,4,5,3,8,10,8,10,9,14,15,15,18,17,16,17,14,17,17,14,17,20,21,22,20,21,24,23,25,31,32,36,30,29,23,19,19,15,16,16,13,11,8,8,6
"269",507,11,16,16,15,13,12,14,12,14,13,16,18,18,20,24,26,24,25,24,26,26,27,28,28,27,27,25,25,25,25,25,27,27,28,28,28,28,28,29,29,31,30,30,30,28,29,30,30,30,30,30,30,30,30,30,30,30,30,30,29,28,28,27,26,24,24,23,23,15,11,10,11,8,6,5,3,0,3,0,5,5,4,5,7,1,2,1,0,4,5,5,5,6,5,3,4,5,3,4,4,5,5,7,6,3,4,3,4,4,6,4,7,8,8,9,7,7,8,8,7,9,8,8,5,4,5,7,3,2,6,9,11,10,15,19,17,18,22,22,22,24,23,24,25,24
"270",508,2,5,6,7,9,11,11,14,14,16,19,21,21,21,20,20,20,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,21,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,21,20,20,20,20,19,19,19,19,18,19,20,21,22,17,13,12,12,9,9,12,9,9,13,14,11,6,8,8,6,3,2,5,5,5,6,6,9,7,7,8,7,7,8,8,6,5,5,4,5,5,2,1,2,2,2,2,2,0,0,0,1,5,4,3,4,3,5,4,4,2,0,1,2,6,6,8,11,5,3,3,6,4
"271",509,32,30,32,31,32,32,32,30,30,32,30,31,32,32,31,32,32,31,28,29,31,31,31,31,31,31,31,32,32,32,32,32,32,32,32,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,34,34,31,29,28,23,21,17,16,14,10,5,2,2,1,0,0,1,1,0,0,0,1,1,0,2,0,0,1,0,5,6,4,5,6,6,6,7,6,5,7,4,6,7,9,10,10,9,8,8,9,6,4,5,4,6,10,14,19,18,17,16,12,15,17,20,19,21,22,22,31,32,31,31,34,32,32,33,32,34,33,34,33,32,34,34
"272",510,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,4,6,7,11,14,15,17,21,27,31,30,32,43,47,50,50,50,50,50,50,50,50,50,50,50,50,50,49,50,50,50,50,49,42,27,27,24,29,25,25,26,26,25,28,28,30,30,29,29,28,27,30,28,26,23,22,23,20,21,16,20,13,10,9,5,0,5,0,1,0,0,1,1,0,2,1,1,0,0,0,0,1,4,2
"273",511,22,23,23,24,25,23,30,23,28,24,26,24,17,18,12,13,10,10,10,12,13,13,14,15,17,17,17,18,18,18,20,21,21,21,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,22,22,22,21,23,21,19,27,30,33,33,27,21,25,23,20,23,20,11,6,16,13,10,13,15,19,30,23,19,12,6,6,3,2,0,0,0,1,0,4,1,0,0,2,3,3,1,1,0,1,1,0,0,3,3,4,2,1,0,0,1,6,8,7,7,3,1,2,3,7,14,11,15,13,16,22,25,31,25,18,12,4,4,7,4
"274",512,19,21,21,22,21,21,21,23,24,25,25,23,24,26,26,26,26,26,26,26,26,26,26,26,25,25,25,24,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,23,23,21,17,17,17,17,17,14,13,10,11,9,6,11,8,6,4,4,4,2,1,1,2,5,9,12,12,10,10,12,14,14,12,13,11,10,10,9,10,10,9,15,14,13,13,12,10,11,11,11,12,13,13,11,11,11,12,14,12,13,14,12,14,13,13,13,16,20,20,22,23,22,17,20,22,23,24,26,26,26,26,26
"275",513,5,6,4,5,6,6,6,7,7,7,7,6,7,7,7,7,7,7,6,6,7,7,7,7,8,7,6,6,6,6,7,7,7,7,7,7,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,7,6,9,9,9,10,12,11,8,7,7,11,6,9,6,3,0,0,0,0,2,1,1,1,1,1,4,4,4,5,6,7,5,4,6,5,6,7,6,5,5,5,6,4,5,4,3,3,4,3,0,1,2,1,1,1,1,1,1,0,0,1,0,0,1,0,0,2,2,2,2,2,4,4,4,5,7,5,5,3,5,9,8,9
"276",514,23,25,27,29,29,29,31,33,33,34,34,37,39,41,41,40,41,40,41,41,43,44,44,44,44,44,45,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,48,47,47,47,47,47,47,47,47,48,48,49,49,49,48,49,49,48,48,49,48,48,47,46,43,41,36,35,38,31,30,26,12,8,7,3,2,1,1,3,1,1,1,0,1,2,3,2,2,2,1,1,1,1,0,2,4,2,2,0,0,3,3,2,2,1,0,0,0,1,1,1,1,3,2,3,3,6,1,5,9,10,12,10,15,16,22,27,37,23,14,1,5,6,14,15,14,15,17,17,16
"277",515,31,33,33,33,33,33,33,33,33,32,33,33,33,33,33,33,33,33,33,33,33,31,32,32,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,32,32,32,32,32,32,32,31,31,31,31,29,29,24,24,24,20,18,15,11,4,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,3,3,3,3,5,2,0,0,1,4,5,2,3,3,5,3,4,3,5,2,2,4,4,4,4,3,4,6,8,7,10,9,9,10,8,7,7,6,5,5,5,10,12,11,19,15,18,19,20,19,19,23,28,31,32
"278",516,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,2,1,1,1,4,10,15,19,19,22,25,26,26,26,25,26,27,27,27,26,24,24,23,23,24,24,23,23,22,21,20,22,22,23,23,21,22,22,23,24,23,24,23,23,22,23,23,23,23,21,21,24,24,23,23,23,25,27,25,24,21,16,13,6,5,0,0,0,1
